Amount,Sender_name,Transaction ID,repayment,Date-Time
18205.11,Sharon Townsend,6393,764.73,2008-12-15 14:42:25
63180.37,Cynthia Miller,7226,249.69,2008-05-30 02:51:45
23822.7,Larry Hall,9446,790.35,2008-09-21 14:59:52
83813.1,Kimberly Berger,4067,767.24,2008-10-08 22:18:33
16967.49,Kirk Koch,6005,440.12,2008-07-21 16:11:20
41112.67,Kevin Eaton,8597,992.37,2008-09-18 01:50:56
32011.55,Nathaniel Ford,7310,856.74,2008-08-31 06:50:09
29992.64,Lisa Salas,8209,649.16,2008-10-03 20:03:32
75028.1,Mary Young,6971,459.51,2008-06-18 14:49:44
61708.92,Heather Glass,4656,556.43,2008-05-21 00:54:09
48911.23,Lisa Ellis,7411,891.86,2008-06-29 15:28:34
28763.71,Daniel Green MD,4498,350.15,2008-02-20 09:42:31
21170.73,Elizabeth Moore,7934,710.59,2008-03-09 13:52:56
17564.5,Allison Smith,7191,968.36,2008-05-15 13:58:33
18163.88,Joshua Brown,9878,605.59,2008-03-09 08:26:13
26851.84,Andrew Martin,5313,172.49,2008-04-08 03:26:42
61630.91,Rachel Anderson,8737,522.89,2008-03-24 13:53:58
11039.63,Margaret Beasley,6570,902.29,2008-08-07 11:55:46
71696.87,Kevin Walton,7214,467.65,2008-08-03 03:48:42
38571.66,Angela Schmidt,5323,419.88,2008-02-21 02:43:34
73198.54,Lindsay West,9888,945.34,2008-06-11 19:13:17
59626.35,Douglas Mcdaniel,4836,204.12,2008-09-07 11:46:25
94264.67,Peggy George,8749,354.58,2008-06-23 08:29:44
93226.5,Rebecca Morris,8800,807.3,2008-07-31 19:56:26
49550.22,Jessica Lyons,5759,240.97,2008-03-13 23:24:18
92246.91,Clayton Green,6780,329.1,2008-07-16 03:12:45
75594.23,Eric Brown,4326,766.48,2008-01-29 07:23:57
26132.82,Jeremy Marshall,8566,547.36,2008-12-20 21:22:07
94330.87,Kayla West,4588,305.91,2008-05-14 21:14:18
36520.56,Jennifer Hatfield,6336,492.47,2008-11-12 06:07:45
92965.66,Morgan Paul,7948,261.34,2008-03-23 09:22:39
51820.94,Amanda Howard,9357,196.11,2008-06-16 17:32:38
50847.73,Timothy Spencer,7638,614.97,2008-06-09 10:49:16
67526.87,Mitchell Daniels,9181,551.23,2008-08-22 22:46:19
70141.18,Autumn Jackson,5752,224.22,2008-11-14 05:50:23
11569.45,Chase Turner,9219,145.93,2008-12-12 17:52:12
53997.79,Sarah Hodge,6524,570.53,2008-07-25 09:56:38
35670.97,Michael Olson,7214,231.6,2008-03-26 09:46:54
82715.71,Willie Wheeler,8511,681.97,2008-06-09 14:09:57
38063.18,Brenda Martinez,8836,818.11,2008-10-05 07:28:36
32996.42,Brian George,9268,418.64,2008-02-27 22:47:49
83796.56,Timothy Evans,7130,455.6,2008-11-18 16:15:21
31448.99,Colleen Simpson,5085,880.14,2008-04-05 07:41:43
95095.47,Angelica Thomas,6010,194.53,2008-09-04 15:48:38
10084.21,Justin Hicks,8527,133.45,2008-12-04 22:17:06
82520.24,Scott Bryant,4806,701.77,2008-05-08 10:21:05
83743.23,Kimberly Michael,7058,590.91,2008-11-01 23:07:58
12781.4,Antonio Green,9056,495.39,2008-12-12 07:05:50
77962.15,Renee Williams,4938,399.75,2008-04-30 23:40:46
17619.29,Heidi Cox,4071,320.13,2008-03-11 20:46:04
18236.7,Courtney Friedman,7787,227.39,2008-12-10 11:21:33
59679.45,Nicole Hernandez,9495,420.12,2008-05-06 13:23:50
37238.14,Natalie Price,4427,816.23,2008-09-21 14:14:03
14601.56,April Reed,7844,425.53,2008-06-29 17:20:11
68965.68,Dr. Marc Lynn DVM,8344,204.52,2008-05-03 04:11:06
54989.75,Brandy Griffin,8341,569.9,2008-11-22 17:36:06
60530.5,Kenneth Michael,5201,952.23,2008-07-02 07:42:19
30026.35,Alejandro Pratt,8230,941.2,2008-09-23 06:35:58
77897.47,Nicole Phillips,5063,192.97,2008-01-24 11:09:13
69319.88,Larry Keller,8463,458.52,2008-07-08 12:20:28
52885.79,Michael Lindsey,4367,887.19,2008-06-25 07:21:40
27007.18,Cynthia Lewis,8804,184.91,2008-11-10 08:59:21
84932.6,Nathaniel Strickland,9166,168.85,2008-06-07 11:59:29
42071.79,Lisa Sanchez,7280,465.52,2008-01-25 12:51:09
69597.74,Melissa Wagner,5734,149.7,2008-10-04 07:35:03
11988.13,Sharon Hall,4303,831.71,2008-08-12 13:38:35
27352.52,Ricardo Hall,5045,881.15,2008-09-05 18:05:06
74978.5,Shannon Bryan,9561,730.52,2008-04-28 19:05:51
31660.77,Diane Lewis,9012,536.27,2008-11-28 19:31:40
16753.81,Pamela Mora,8730,190.91,2008-04-23 05:18:14
16011.6,Lacey Sparks,8413,100.89,2008-04-04 02:49:22
61363.42,Sarah Turner,5844,206.87,2008-05-06 08:34:43
99392.66,Keith Lindsey,7195,739.37,2008-01-04 21:56:40
86034.81,Cody Cohen,5125,334.49,2008-09-06 17:56:57
70343.28,Isabel Jones,5631,716.68,2008-08-01 17:25:07
97124.92,Amanda Duke DDS,7061,248.8,2008-10-08 01:09:38
22023.99,Gregory Schaefer,7372,207.12,2008-03-26 06:14:58
39262.58,Katherine Briggs,7087,436.46,2008-06-05 20:55:39
30220.77,Brandon Brewer,5483,505.31,2008-09-12 04:59:46
50632.71,Calvin Silva,9983,508.21,2008-09-02 00:45:35
19729.53,Christopher Baker,6598,503.46,2008-04-02 05:15:30
45135.28,Deborah Quinn,4019,424.17,2008-10-27 00:23:30
89210.28,Andrew Smith,8624,564.41,2008-10-19 05:52:02
64654.91,Crystal Newton,5462,229.8,2008-05-09 15:53:50
82663.7,Michael Paul,6777,320.41,2008-05-02 23:00:12
79386.34,Samantha Evans,8231,303.66,2008-01-20 04:49:15
16891.16,Scott Flores,7634,144.56,2008-09-24 22:08:48
78848.82,Sharon Barnett,6232,488.22,2008-11-08 14:16:52
82205.63,Brenda Gardner,9834,675.19,2008-04-27 09:19:47
34484.6,Aaron Glass,4727,852.68,2008-04-30 08:59:40
32977.62,Lisa Green,9355,866.87,2008-03-13 04:50:19
78996.79,Richard Lewis,5525,651.43,2008-10-24 06:29:11
39466.92,Adriana Martinez,5971,442.9,2008-04-28 03:21:44
24226.31,Amy Fowler,6554,617.35,2008-02-08 13:53:09
74600.76,Janet Martinez,9400,305.89,2008-02-23 03:33:46
67463.19,Dawn Williams,8010,637.69,2008-01-07 16:27:46
81839.34,Courtney Kennedy,6747,450.31,2008-01-20 07:56:00
67557.64,Julie Lee,9745,570.9,2008-11-20 13:27:11
35223.65,Kevin May,6042,507.47,2008-08-18 22:49:01
37810.35,Mary Henderson,5712,302.98,2008-12-18 10:29:51
